Date,Category,Job,Expense Amount,Tax Deduction Value,Notes
04/07/2017,Inspections,,$25.74,$25.74,Lyft at jiffy lube newark
04/07/2017,Phone Accessories,,$15.99,$15.99,Cell phone holder 
04/07/2017,Phone Accessories,,$15.99,$15.99,5 port phone charger 
04/09/2017,Passenger Goodies,,$65.00,$65.00,Uber business cards to offer referrals. 
04/09/2017,Phone Accessories,,$31.98,$31.98,5 port charger
04/12/2017,Phone & Service,,$65.00,$65.00,Apr phone 
04/12/2017,Car Cleaning,,$23.99,$23.99,Lozano mt view 
04/12/2017,Music & Paid Apps,,$9.99,$9.99,Spotify
04/12/2017,Music & Paid Apps,,$9.99,$9.99,Apple Music 
04/13/2017,Phone Accessories,,$39.77,$39.77,6 cables. 2 lightning adapters 
04/25/2017,Car Cleaning,,$13.99,$13.99,Shell Cupertino 
04/29/2017,Food & Drink,,$15.52,$7.76,"Charlies Taq. 
"
04/30/2017,Tolls,,$170.00,$170.00,Fastrak. Mid April 
04/30/2017,Food & Drink,,$10.52,$5.26,Togo
05/02/2017,Phone & Service,,$65.00,$65.00,May att phone 
05/05/2017,Parking,,$2.55,$2.55,San mateo
05/05/2017,Food & Drink,,$12.52,$6.26,Lil sechuan
05/05/2017,Parking,,$2.25,$2.25,Burlingame
05/09/2017,Food & Drink,,$12.96,$6.48,Charlies
05/10/2017,Music & Paid Apps,,$9.99,$9.99,Spotify
05/11/2017,Music & Paid Apps,,$9.99,$9.99,Apple Music 
05/15/2017,Food & Drink,,$6.56,$3.28,Starbucks 
05/15/2017,Food & Drink,,$10.96,$5.48,Chipotle mv
05/16/2017,Food & Drink,,$11.06,$5.53,Chipotle mv
05/18/2017,Food & Drink,,$11.60,$5.80,Starbucks 
05/19/2017,Food & Drink,,$8.96,$4.48,Starbucks 
05/19/2017,Food & Drink,,$11.06,$5.53,Chipotle 
05/19/2017,Tolls,,$170.00,$170.00,Fastrak
05/21/2017,Food & Drink,,$12.58,$6.29,Chipotle 
05/22/2017,Food & Drink,,$13.76,$6.88,
05/22/2017,Food & Drink,,$12.76,$6.38,Chipotle 
05/22/2017,Food & Drink,,$18.80,$9.40,Starbucks 
05/23/2017,Car Cleaning,,$23.99,$23.99,
05/23/2017,Food & Drink,,$11.46,$5.73,
05/24/2017,Food & Drink,,$18.76,$9.38,Starbucks 
05/24/2017,Food & Drink,,$11.56,$5.78,May 23 paris bag
05/25/2017,Food & Drink,,$23.53,$11.76,
05/26/2017,Food & Drink,,$11.66,$5.83,
05/30/2017,Food & Drink,,$11.56,$5.78,
05/31/2017,Food & Drink,,$25.00,$12.50,Starbucks card
06/02/2017,Food & Drink,,$16.75,$8.38,
06/03/2017,Phone & Service,,$65.00,$65.00,
06/03/2017,Food & Drink,,$11.56,$5.78,
06/05/2017,Food & Drink,,$12.89,$6.44,
06/06/2017,Food & Drink,,$13.22,$6.61,
06/07/2017,Food & Drink,,$17.88,$8.94,
06/08/2017,Music & Paid Apps,,$9.99,$9.99,Spotify 
06/08/2017,Food & Drink,,$25.00,$12.50,Starbucks card
06/09/2017,Car Cleaning,,$23.99,$23.99,
06/09/2017,Food & Drink,,$9.32,$4.66,
06/10/2017,Food & Drink,,$14.99,$7.50,
06/11/2017,Food & Drink,,$12.25,$6.12,
06/12/2017,Food & Drink,,$18.44,$9.22,
06/14/2017,Food & Drink,,$11.65,$5.82,
06/16/2017,Food & Drink,,$11.16,$5.58,
06/16/2017,Food & Drink,,$11.76,$5.88,
06/17/2017,Tolls,,$170.00,$170.00,Fastrak
06/17/2017,Food & Drink,,$25.00,$12.50,Starbucks 
06/19/2017,Food & Drink,,$12.55,$6.28,
06/20/2017,Food & Drink,,$16.89,$8.44,
06/21/2017,Food & Drink,,$11.46,$5.73,
06/21/2017,Food & Drink,,$15.75,$7.88,
06/22/2017,Food & Drink,,$6.95,$3.48,
06/23/2017,Food & Drink,,$14.19,$7.10,
06/24/2017,Food & Drink,,$25.00,$12.50,Starbucks 
06/24/2017,Parking,,$4.50,$4.50,West Portal
06/30/2017,Food & Drink,,$25.00,$12.50,Starbucks 
07/03/2017,Food & Drink,,$11.06,$5.53,
07/03/2017,Car Cleaning,,$23.99,$23.99,
07/04/2017,Food & Drink,,$11.06,$5.53,
07/04/2017,Music & Paid Apps,,$9.99,$9.99,Apple Music 
07/04/2017,Inspections,,$45.00,$45.00,Smog test 
07/05/2017,Food & Drink,,$25.00,$12.50,Starbucks 
07/05/2017,Phone & Service,,$65.00,$65.00,
07/05/2017,Tolls,,$170.00,$170.00,
07/12/2017,Car Cleaning,,$23.99,$23.99,

